event,event_utc,event_la,year,event_la_date,event_desc
Spring Equinox,2032-03-20T01:00:00Z,2032-03-20T01:00:00Z,2032,2032-03-19,Day and night are approximately equal.
Summer Solstice,2032-06-20T19:00:00Z,2032-06-20T19:00:00Z,2032,2032-06-20,The longest day of the year.
Autumn Equinox,2032-09-22T11:00:00Z,2032-09-22T11:00:00Z,2032,2032-09-22,Day and night are approximately equal.
Winter Solstice,2032-12-21T08:00:00Z,2032-12-21T08:00:00Z,2032,2032-12-21,The longest night of the year.
Spring Equinox,2033-03-20T07:00:00Z,2033-03-20T07:00:00Z,2033,2033-03-20,Day and night are approximately equal.
Summer Solstice,2033-06-21T01:00:00Z,2033-06-21T01:00:00Z,2033,2033-06-20,The longest day of the year.
Autumn Equinox,2033-09-22T17:00:00Z,2033-09-22T17:00:00Z,2033,2033-09-22,Day and night are approximately equal.
Winter Solstice,2033-12-21T14:00:00Z,2033-12-21T14:00:00Z,2033,2033-12-21,The longest night of the year.
Spring Equinox,2034-03-20T13:00:00Z,2034-03-20T13:00:00Z,2034,2034-03-20,Day and night are approximately equal.
Summer Solstice,2034-06-21T07:00:00Z,2034-06-21T07:00:00Z,2034,2034-06-21,The longest day of the year.
Autumn Equinox,2034-09-22T23:00:00Z,2034-09-22T23:00:00Z,2034,2034-09-22,Day and night are approximately equal.
Winter Solstice,2034-12-21T20:00:00Z,2034-12-21T20:00:00Z,2034,2034-12-21,The longest night of the year.
Spring Equinox,2035-03-20T19:00:00Z,2035-03-20T19:00:00Z,2035,2035-03-20,Day and night are approximately equal.
Summer Solstice,2035-06-21T13:00:00Z,2035-06-21T13:00:00Z,2035,2035-06-21,The longest day of the year.
Autumn Equinox,2035-09-23T05:00:00Z,2035-09-23T05:00:00Z,2035,2035-09-22,Day and night are approximately equal.
Winter Solstice,2035-12-22T02:00:00Z,2035-12-22T02:00:00Z,2035,2035-12-21,The longest night of the year.
Spring Equinox,2036-03-20T01:00:00Z,2036-03-20T01:00:00Z,2036,2036-03-19,Day and night are approximately equal.
Summer Solstice,2036-06-20T19:00:00Z,2036-06-20T19:00:00Z,2036,2036-06-20,The longest day of the year.
Autumn Equinox,2036-09-22T10:00:00Z,2036-09-22T10:00:00Z,2036,2036-09-22,Day and night are approximately equal.
Winter Solstice,2036-12-21T07:00:00Z,2036-12-21T07:00:00Z,2036,2036-12-20,The longest night of the year.
Spring Equinox,2037-03-20T07:00:00Z,2037-03-20T07:00:00Z,2037,2037-03-20,Day and night are approximately equal.
Summer Solstice,2037-06-21T00:00:00Z,2037-06-21T00:00:00Z,2037,2037-06-20,The longest day of the year.
Autumn Equinox,2037-09-22T16:00:00Z,2037-09-22T16:00:00Z,2037,2037-09-22,Day and night are approximately equal.
Winter Solstice,2037-12-21T13:00:00Z,2037-12-21T13:00:00Z,2037,2037-12-21,The longest night of the year.
Spring Equinox,2038-03-20T13:00:00Z,2038-03-20T13:00:00Z,2038,2038-03-20,Day and night are approximately equal.
Summer Solstice,2038-06-21T06:00:00Z,2038-06-21T06:00:00Z,2038,2038-06-20,The longest day of the year.
Autumn Equinox,2038-09-22T22:00:00Z,2038-09-22T22:00:00Z,2038,2038-09-22,Day and night are approximately equal.
Winter Solstice,2038-12-21T19:00:00Z,2038-12-21T19:00:00Z,2038,2038-12-21,The longest night of the year.
Spring Equinox,2039-03-20T19:00:00Z,2039-03-20T19:00:00Z,2039,2039-03-20,Day and night are approximately equal.
Summer Solstice,2039-06-21T12:00:00Z,2039-06-21T12:00:00Z,2039,2039-06-21,The longest day of the year.
Autumn Equinox,2039-09-23T04:00:00Z,2039-09-23T04:00:00Z,2039,2039-09-22,Day and night are approximately equal.
Winter Solstice,2039-12-22T01:00:00Z,2039-12-22T01:00:00Z,2039,2039-12-21,The longest night of the year.
Spring Equinox,2040-03-20T00:00:00Z,2040-03-20T00:00:00Z,2040,2040-03-19,Day and night are approximately equal.
Summer Solstice,2040-06-20T18:00:00Z,2040-06-20T18:00:00Z,2040,2040-06-20,The longest day of the year.
Autumn Equinox,2040-09-22T10:00:00Z,2040-09-22T10:00:00Z,2040,2040-09-22,Day and night are approximately equal.
Winter Solstice,2040-12-21T07:00:00Z,2040-12-21T07:00:00Z,2040,2040-12-20,The longest night of the year.
Spring Equinox,2041-03-20T06:00:00Z,2041-03-20T06:00:00Z,2041,2041-03-19,Day and night are approximately equal.
Summer Solstice,2041-06-20T23:00:00Z,2041-06-20T23:00:00Z,2041,2041-06-20,The longest day of the year.
Autumn Equinox,2041-09-22T15:00:00Z,2041-09-22T15:00:00Z,2041,2041-09-22,Day and night are approximately equal.
Winter Solstice,2041-12-21T12:00:00Z,2041-12-21T12:00:00Z,2041,2041-12-21,The longest night of the year.
Spring Equinox,2042-03-20T12:00:00Z,2042-03-20T12:00:00Z,2042,2042-03-20,Day and night are approximately equal.
Summer Solstice,2042-06-21T05:00:00Z,2042-06-21T05:00:00Z,2042,2042-06-20,The longest day of the year.
Autumn Equinox,2042-09-22T21:00:00Z,2042-09-22T21:00:00Z,2042,2042-09-22,Day and night are approximately equal.
Winter Solstice,2042-12-21T18:00:00Z,2042-12-21T18:00:00Z,2042,2042-12-21,The longest night of the year.
Spring Equinox,2043-03-20T17:00:00Z,2043-03-20T17:00:00Z,2043,2043-03-20,Day and night are approximately equal.
Summer Solstice,2043-06-21T11:00:00Z,2043-06-21T11:00:00Z,2043,2043-06-21,The longest day of the year.
Autumn Equinox,2043-09-23T03:00:00Z,2043-09-23T03:00:00Z,2043,2043-09-22,Day and night are approximately equal.
Winter Solstice,2043-12-22T00:00:00Z,2043-12-22T00:00:00Z,2043,2043-12-21,The longest night of the year.
Spring Equinox,2044-03-19T23:00:00Z,2044-03-19T23:00:00Z,2044,2044-03-19,Day and night are approximately equal.
Summer Solstice,2044-06-20T17:00:00Z,2044-06-20T17:00:00Z,2044,2044-06-20,The longest day of the year.
Autumn Equinox,2044-09-22T09:00:00Z,2044-09-22T09:00:00Z,2044,2044-09-22,Day and night are approximately equal.
Winter Solstice,2044-12-21T06:00:00Z,2044-12-21T06:00:00Z,2044,2044-12-20,The longest night of the year.
Spring Equinox,2045-03-20T05:00:00Z,2045-03-20T05:00:00Z,2045,2045-03-19,Day and night are approximately equal.
Summer Solstice,2045-06-20T23:00:00Z,2045-06-20T23:00:00Z,2045,2045-06-20,The longest day of the year.
Autumn Equinox,2045-09-22T15:00:00Z,2045-09-22T15:00:00Z,2045,2045-09-22,Day and night are approximately equal.
Winter Solstice,2045-12-21T12:00:00Z,2045-12-21T12:00:00Z,2045,2045-12-21,The longest night of the year.
Spring Equinox,2046-03-20T11:00:00Z,2046-03-20T11:00:00Z,2046,2046-03-20,Day and night are approximately equal.
Summer Solstice,2046-06-21T04:00:00Z,2046-06-21T04:00:00Z,2046,2046-06-20,The longest day of the year.
Autumn Equinox,2046-09-22T20:00:00Z,2046-09-22T20:00:00Z,2046,2046-09-22,Day and night are approximately equal.
Winter Solstice,2046-12-21T17:00:00Z,2046-12-21T17:00:00Z,2046,2046-12-21,The longest night of the year.
Spring Equinox,2047-03-20T17:00:00Z,2047-03-20T17:00:00Z,2047,2047-03-20,Day and night are approximately equal.
Summer Solstice,2047-06-21T10:00:00Z,2047-06-21T10:00:00Z,2047,2047-06-21,The longest day of the year.
Autumn Equinox,2047-09-23T02:00:00Z,2047-09-23T02:00:00Z,2047,2047-09-22,Day and night are approximately equal.
Winter Solstice,2047-12-21T23:00:00Z,2047-12-21T23:00:00Z,2047,2047-12-21,The longest night of the year.
Spring Equinox,2048-03-19T23:00:00Z,2048-03-19T23:00:00Z,2048,2048-03-19,Day and night are approximately equal.
Summer Solstice,2048-06-20T16:00:00Z,2048-06-20T16:00:00Z,2048,2048-06-20,The longest day of the year.
Autumn Equinox,2048-09-22T08:00:00Z,2048-09-22T08:00:00Z,2048,2048-09-22,Day and night are approximately equal.
Winter Solstice,2048-12-21T05:00:00Z,2048-12-21T05:00:00Z,2048,2048-12-20,The longest night of the year.
Spring Equinox,2049-03-20T04:00:00Z,2049-03-20T04:00:00Z,2049,2049-03-19,Day and night are approximately equal.
Summer Solstice,2049-06-20T22:00:00Z,2049-06-20T22:00:00Z,2049,2049-06-20,The longest day of the year.
Autumn Equinox,2049-09-22T14:00:00Z,2049-09-22T14:00:00Z,2049,2049-09-22,Day and night are approximately equal.
Winter Solstice,2049-12-21T11:00:00Z,2049-12-21T11:00:00Z,2049,2049-12-21,The longest night of the year.
Spring Equinox,2050-03-20T10:00:00Z,2050-03-20T10:00:00Z,2050,2050-03-20,Day and night are approximately equal.
Summer Solstice,2050-06-21T04:00:00Z,2050-06-21T04:00:00Z,2050,2050-06-20,The longest day of the year.
Autumn Equinox,2050-09-22T19:00:00Z,2050-09-22T19:00:00Z,2050,2050-09-22,Day and night are approximately equal.
Winter Solstice,2050-12-21T17:00:00Z,2050-12-21T17:00:00Z,2050,2050-12-21,The longest night of the year.
Spring Equinox,2051-03-20T16:00:00Z,2051-03-20T16:00:00Z,2051,2051-03-20,Day and night are approximately equal.
Summer Solstice,2051-06-21T09:00:00Z,2051-06-21T09:00:00Z,2051,2051-06-21,The longest day of the year.
Autumn Equinox,2051-09-23T01:00:00Z,2051-09-23T01:00:00Z,2051,2051-09-22,Day and night are approximately equal.
Winter Solstice,2051-12-21T23:00:00Z,2051-12-21T23:00:00Z,2051,2051-12-21,The longest night of the year.
