"","year","shower_name","active_start","peak_date","active_end","active_date_label","peak_date_label","zhr","intensity"
"80",2006,"Orionids",2006-10-02,2006-10-22,2006-11-07,"Oct 02 - Nov 07","Oct 22",20,"Low"
"81",2006,"Perseids",2006-07-17,2006-08-12,2006-08-24,"Jul 17 - Aug 24","Aug 12",100,"High"
"82",2006,"Quadrantids",2006-01-01,2006-01-03,2006-01-05,"Jan 01 - Jan 05","Jan 03",120,"Very High"
"83",2006,"Southern Taurids",2006-09-23,2006-10-10,2006-11-27,"Sep 23 - Nov 27","Oct 10",5,"Very Low"
"84",2006,"Ursids",2006-12-17,2006-12-22,2006-12-26,"Dec 17 - Dec 26","Dec 22",10,"Very Low"
"85",2007,"Delta Aquariids",2007-07-12,2007-07-30,2007-08-23,"Jul 12 - Aug 23","Jul 30",25,"Low"
"86",2007,"Draconids",2007-10-06,2007-10-08,2007-10-10,"Oct 06 - Oct 10","Oct 08",10,"Very Low"
"87",2007,"Eta Aquariids",2007-04-19,2007-05-06,2007-05-28,"Apr 19 - May 28","May 06",50,"Moderate"
"88",2007,"Geminids",2007-12-04,2007-12-14,2007-12-20,"Dec 04 - Dec 20","Dec 14",150,"Very High"
"89",2007,"Leonids",2007-11-06,2007-11-17,2007-11-30,"Nov 06 - Nov 30","Nov 17",15,"Low"
"90",2007,"Lyrids",2007-04-15,2007-04-22,2007-04-29,"Apr 15 - Apr 29","Apr 22",18,"Low"
"91",2007,"Northern Taurids",2007-10-13,2007-11-12,2007-12-02,"Oct 13 - Dec 02","Nov 12",5,"Very Low"
"92",2007,"Orionids",2007-10-02,2007-10-22,2007-11-07,"Oct 02 - Nov 07","Oct 22",20,"Low"
"93",2007,"Perseids",2007-07-17,2007-08-12,2007-08-24,"Jul 17 - Aug 24","Aug 12",100,"High"
"94",2007,"Quadrantids",2007-01-01,2007-01-03,2007-01-05,"Jan 01 - Jan 05","Jan 03",120,"Very High"
"95",2007,"Southern Taurids",2007-09-23,2007-10-10,2007-11-27,"Sep 23 - Nov 27","Oct 10",5,"Very Low"
"96",2007,"Ursids",2007-12-17,2007-12-22,2007-12-26,"Dec 17 - Dec 26","Dec 22",10,"Very Low"
"97",2008,"Delta Aquariids",2008-07-12,2008-07-30,2008-08-23,"Jul 12 - Aug 23","Jul 30",25,"Low"
"98",2008,"Draconids",2008-10-06,2008-10-08,2008-10-10,"Oct 06 - Oct 10","Oct 08",10,"Very Low"
"99",2008,"Eta Aquariids",2008-04-19,2008-05-06,2008-05-28,"Apr 19 - May 28","May 06",50,"Moderate"
"100",2008,"Geminids",2008-12-04,2008-12-14,2008-12-20,"Dec 04 - Dec 20","Dec 14",150,"Very High"
"101",2008,"Leonids",2008-11-06,2008-11-17,2008-11-30,"Nov 06 - Nov 30","Nov 17",15,"Low"
"102",2008,"Lyrids",2008-04-15,2008-04-22,2008-04-29,"Apr 15 - Apr 29","Apr 22",18,"Low"
"103",2008,"Northern Taurids",2008-10-13,2008-11-12,2008-12-02,"Oct 13 - Dec 02","Nov 12",5,"Very Low"
"104",2008,"Orionids",2008-10-02,2008-10-22,2008-11-07,"Oct 02 - Nov 07","Oct 22",20,"Low"
"105",2008,"Perseids",2008-07-17,2008-08-12,2008-08-24,"Jul 17 - Aug 24","Aug 12",100,"High"
"106",2008,"Quadrantids",2008-01-01,2008-01-03,2008-01-05,"Jan 01 - Jan 05","Jan 03",120,"Very High"
"107",2008,"Southern Taurids",2008-09-23,2008-10-10,2008-11-27,"Sep 23 - Nov 27","Oct 10",5,"Very Low"
"108",2008,"Ursids",2008-12-17,2008-12-22,2008-12-26,"Dec 17 - Dec 26","Dec 22",10,"Very Low"
"109",2009,"Delta Aquariids",2009-07-12,2009-07-30,2009-08-23,"Jul 12 - Aug 23","Jul 30",25,"Low"
