catalog_number,date_la,time_la,delta_t_s,luna_num,saros_num,eclipse_type,qle,gamma,eclipse_mag,latitude,longitude,sun_alt_deg,path_width_km,central_duration_s,eclipse_type_long,eclipse_desc,distance_to_ca_km,eclipse_visibility_ca,central_duration_text
09660,2068-05-30,20:56:39,131,846,148,T,p-,-0.797,1.011,-31,123,37,63,66,Total,The Moon completely covers the Sun.,14319.030521826138,Not Visible in California,1m 6s
09661,2068-11-24,13:32:30,132,852,153,P,t-,1.0299,0.9109,69,-131,0,NA,NA,Partial,The Moon partially covers the Sun.,3652.1299190940636,Partially Visible in California,NA
09662,2069-04-21,03:11:09,133,857,120,P,-t,1.0624,0.8992,71,-101,0,NA,NA,Partial,The Moon partially covers the Sun.,3954.0530002617734,Partially Visible in California,NA
09663,2069-05-20,10:53:18,133,858,158,Pb,t-,-1.4852,0.0879,-69,-70,0,NA,NA,Partial,The Moon partially covers the Sun.,12437.474657190525,Not Visible in California,NA
09664,2069-10-14,21:19:56,134,863,125,P,-t,-1.2524,0.5298,-72,-5,0,NA,NA,Partial,The Moon partially covers the Sun.,14700.089767242513,Not Visible in California,NA
09665,2070-04-10,19:36:09,135,869,130,T,-n,0.3652,1.0472,29,135,68,168,244,Total,The Moon completely covers the Sun.,9356.000983979766,Not Visible in California,4m 4s
09666,2070-10-04,00:08:57,136,875,135,A,-p,-0.495,0.9731,-33,60,60,110,164,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",19591.620542444707,Not Visible in California,2m 44s
09667,2071-03-31,08:01:06,138,881,140,A,n-,-0.3739,0.9919,-17,-37,68,31,52,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",10479.319819837601,Not Visible in California,0m 52s
09668,2071-09-23,10:20:28,139,887,145,T,n-,0.262,1.0333,14,-77,75,116,191,Total,The Moon completely covers the Sun.,4899.519212443101,Partially Visible in California,3m 11s
09669,2072-03-19,13:10:31,140,893,150,P,t-,-1.1405,0.7199,-72,-30,0,NA,NA,Partial,The Moon partially covers the Sun.,13847.603923944478,Not Visible in California,NA
